DEPTH,
2265.78,4
2265.93,4
2266.08,4
2266.24,4
2266.39,4
2266.54,4
2266.69,4
2266.85,4
2267,4
2267.15,4
2267.3,4
2267.46,4
2267.61,4
2267.76,4
2267.91,4
2268.07,4
2268.22,4
2268.37,4
2268.52,4
2268.68,4
2268.83,4
2268.98,4
2269.13,4
2269.28,4
2269.44,4
2269.59,4
2269.74,4
2269.89,4
2270.05,4
2270.2,4
2270.35,4
2270.5,4
2270.66,4
2270.81,4
2270.96,4
2271.11,4
2271.27,4
2271.42,4
2271.57,4
2271.72,4
2271.88,4
2272.03,4
2272.18,4
2272.33,4
2272.49,4
2272.64,4
2272.79,4
2272.94,4
2273.09,4
2273.25,4
2273.4,4
2273.55,4
2273.7,4
2273.86,4
2274.01,4
2274.16,4
2274.31,4
2274.47,4
2274.62,4
2274.77,4
2274.92,4
2275.08,4
2275.23,4
2275.38,4
2275.53,4
2275.69,4
2275.84,4
2275.99,4
2276.14,4
2276.3,4
2276.45,4
2276.6,4
2276.75,4
2276.9,4
2277.06,4
2277.21,4
2277.36,4
2277.51,4
2277.67,4
2277.82,4
2277.97,4
2278.12,4
2278.28,4
2278.43,4
2278.58,4
2278.73,4
2278.89,4
2279.04,4
2279.19,4
2279.34,4
2279.5,4
2279.65,4
2279.8,4
2279.95,4
2280.11,4
2280.26,4
2280.41,4
2280.56,4
2280.71,4
2280.87,4
2281.02,4
2281.17,4
2281.32,4
2281.48,4
2281.63,4
2281.78,4
2281.93,4
2282.09,4
2282.24,4
2282.39,4
2282.54,4
2282.7,4
2282.85,4
2283,4
2283.15,4
2283.31,4
2283.46,4
2283.61,4
2283.76,4
2283.92,4
2284.07,4
2284.22,4
2284.37,4
2284.52,4
2284.68,4
2284.83,4
2284.98,4
2285.13,4
2285.29,4
2285.44,4
2285.59,4
2285.74,4
2285.9,4
2286.05,4
2286.2,4
2286.35,4
2286.51,4
2286.66,4
2286.81,4
2286.96,4
2287.12,4
2287.27,4
2287.42,4
2287.57,4
2287.73,4
2287.88,4
2288.03,4
2288.18,4
2288.33,4
2288.49,4
2288.64,4
2288.79,4
2288.94,4
2289.1,4
2289.25,4
2289.4,4
2289.55,4
2289.71,4
2289.86,4
2290.01,4
2290.16,4
